month,date,year,title,description,imageurl,moreinfourl
JANUARY,1,2012,Galaxy Leo IV,"Leo IV is one of more than a dozen ultra-faint dwarf galaxies near the Milky Way. These galaxies are dominated by dark matter, an invisible substance that makes up most of the universe's mass.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-1-2019-galaxy-leo-iv.jpg,https://hubblesite.org/contents/media/images/2012/26/3054-Image.html
JANUARY,2,2005,Galaxy Cluster SDSS J1004+4112,"This picture captures a galaxy cluster called SDSS J1004+4112 that's so massive that its gravity bends light from galaxies behind it. The light of a distant quasar (the brilliant core of an active galaxy) has been bent around the cluster, appearing in five places in this image.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-2-2019-galaxy-cluster-sdss-j1004-4112.jpg,https://hubblesite.org/contents/media/images/2006/23/1929-Image.html
JANUARY,3,2017,NGC 4302 and NGC 4298,"This image captures two spiral galaxies. They look quite different because we see them from different angles. The edge-on galaxy (on the left) is called NGC 4302, and the other is NGC 4298.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-3-2019-ngc-4302-and-ngc-4298.png,https://hubblesite.org/contents/media/images/2017/14/4019-Image.html
JANUARY,4,1998,Saturn in Infrared,"This false-color image of Saturn captures infrared light reflecting off the planet. The image also captures two of Saturn's moons, Dione in the lower left and Tethys in the upper right.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-4-2019-saturn-in-infrared.jpg,https://hubblesite.org/contents/media/images/1998/18/659-Image.html
JANUARY,5,2010,Galaxy NGC 2841,"Young, blue stars and dark lanes of dust trace the winding arms of NGC 2841. Winds from the young stars may have cleared out the gas needed for additional star birth and halted star formation in the spiral galaxy.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-5-2019-galaxy-ngc-2841.jpg,https://hubblesite.org/contents/media/images/2011/06/2821-Image.html
JANUARY,6,2006,Interacting Galaxies Arp 220,"Arp 220 is the result of a collision between two spiral galaxies that began 700 millions years ago. Located about 250 million light-years from Earth, it is one of the nearest galaxy mergers to our planet.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-6-2019-interacting-galaxies-arp-220.jpg,https://hubblesite.org/contents/media/images/2008/16/2314-Image.html
JANUARY,7,2010,Galaxy NGC 2841,"Young, blue stars and dark lanes of dust trace the winding arms of NGC 2841. Winds from the young, super-hot stars may have cleared out the gas needed for additional star birth and halted star formation in the spiral galaxy.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-7-2019-galaxy-ngc-2841.jpg,https://hubblesite.org/contents/media/images/2011/06/2821-Image.html
JANUARY,8,2007,Galaxy NGC 2976,"This picture shows the inner region of NGC 2976, located roughly 11 million light-years away in the constellation Ursa Major. Despite the lack of well-defined arms visible in this image, NGC 2976 is a spiral galaxy.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-8-2019-galaxy-ngc-2976.jpg,https://hubblesite.org/contents/media/images/2010/05/2682-Image.html
JANUARY,9,2003,Galaxy NGC 1427A,"This image captures NGC 1427A, an irregular dwarf galaxy that is warped by the gravitational influence of its larger galactic neighbors in the Fornax galaxy cluster.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-9-2019-galaxy-ngc-1427a.jpg,https://hubblesite.org/contents/media/images/2005/09/1662-Image.html
JANUARY,10,1998,Galaxy Centaurus A,"This image captures a turbulent firestorm of star birth along a nearly edge-on dust disk girdling nearby galaxy Centaurus A. Brilliant clusters of young, blue stars lie along the edge of the dark dust lane.",https://imagine.gsfc.nasa.gov/hst_bday/images/january-10-2019-galaxy-centaurus-a.jpg,https://hubblesite.org/contents/media/images/1998/14/637-Image.html
